Prec,Temp
638.46,-0.46
678.77,-0.42
739.36,1.48
741.42,2.06
755.55,2.38
844.27,3.15
894.61,2.76
908.75,3.19
916.86,3.88
898.77,4.43
939.09,4.74
989.44,4.43
1043.83,4.27
1098.25,4.46
1106.34,4.89
1122.45,4.81
1116.39,4.5
1160.69,4.15
1174.82,4.54
1156.73,5.12
1130.54,5.16
1122.51,5.51
1142.72,6.28
1148.8,6.71
1130.71,7.33
1096.49,7.72
1062.24,7.84
1023.98,8.07
973.61,8.19
939.35,8.08
913.1,7.42
880.86,7.38
866.8,7.92
834.58,8.16
804.37,8.31
766.13,8.94
754.06,9.13
723.83,9.09
687.55,8.9
661.36,8.94
647.26,9.06
592.86,9.13
574.74,9.29
510.27,9.37
488.1,9.29
451.82,9.1
449.76,8.56
443.64,7.59
439.56,7
449.6,6.46
453.59,5.99
477.73,5.53
457.53,4.83
455.5,4.6
437.35,4.4
431.17,2.62
396.88,2.19
388.77,1.57
372.62,1.22
346.4,0.83
346.34,0.06
344.28,-0.56
338.18,-1.26
356.21,-2.54
370.25,-3.36
384.33,-3.71
412.52,-4.02
452.81,-4.1
479,-4.14
497.14,-4.06
511.27,-3.75
521.37,-3.44
543.56,-3.09
567.76,-2.82
581.88,-2.55
600.03,-2.4
612.13,-2.28
626.26,-1.97
630.31,-1.7
632.35,-1.31
634.4,-0.96
